empresa,categoria,produto_original,marca,codigo_produto,embalagem_caixa,pagina_catalogo,data_coleta,fonte
Casa Garcia Gourmet,Confeitaria,ACUCAR COL AMARELO 300G MIL CORES,MIL CORES,9176,CX 12,1,2026-08-26 17:27:45,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,ACUCAR COL AZUL 300G MIL CORES,MIL CORES,9185,CX 12,1,2026-08-26 17:27:45,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,ACUCAR COL BRANCO 300G MIL CORES,MIL CORES,9181,CX 12,1,2026-08-26 17:27:45,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,ACUCAR COL ROSA 300G MIL CORES,MIL CORES,9177,CX 12,1,2026-08-26 17:27:45,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,ACUCAR COL VERDE 300G MIL CORES,MIL CORES,9178,CX 12,1,2026-08-26 17:27:45,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,ACUCAR COL VERMELHO 300G MIL CORES,MIL CORES,9179,CX 12,1,2026-08-26 17:27:45,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,ACUCAR CONF 1KG SNOW SUGAR,MAVALERIO,301,CX 10,1,2026-08-26 17:27:45,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,ACUCAR CONF 500G SNOW SUGAR,MAVALERIO,297,CX 20,1,2026-08-26 17:27:45,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,ACUCAR CONF BIG MIX 1KG,BIG MIX,299,CX 10,1,2026-08-26 17:27:45,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,ACUCAR CRISTAL 1KG UNIAO,UNIÃO,2770,CX 10,1,2026-08-26 17:27:45,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,ACUCAR GELADO P/COBERTURAS 1KG,MAVALERIO,302,CX 10,1,2026-08-26 17:27:45,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,ACUCAR GELADO P/COBERTURAS 500G,MAVALERIO,298,CX 06,1,2026-08-26 17:27:45,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,ACUCAR IMPALPAVEL MIX 1KG,MIX,5621,CX 10,2,2026-08-26 17:27:47,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AGAR-AGAR MIX 30G,MIX,5634,CX 06,2,2026-08-26 17:27:47,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,"ALCOOL ETILICO DE CEREAIS 93,8 50ML FAB",FAB,6388,CX 30,2,2026-08-26 17:27:47,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,"AMENDOIM TORRADO GRANULADO VABENE 1,05KG",VABENE,3970,CX 12,2,2026-08-26 17:27:47,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,"AMENDOIM TORRADO METADES VABENE 1,05KG",VABENE,3997,CX 12,2,2026-08-26 17:27:47,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AMIDO DE MILHO TECNUTRI 1KG,TECNUTRI,6628,CX 10,2,2026-08-26 17:27:47,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AMIDO DE MILHO TECNUTRI 500G,TECNUTRI,6619,CX 24,2,2026-08-26 17:27:47,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,ANTIMOFO LIQ EXTRA PARA BOLO 5L,LA RECETTE,2305,CX 04,2,2026-08-26 17:27:47,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA ABACAXI LARECETTE 960ML,LA RECETTE,435,CX 12,2,2026-08-26 17:27:47,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA ABACAXI OLEOSO 1000ML LARECETTE,LA RECETTE,10844,UN 01,2,2026-08-26 17:27:47,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA ALHO LARECETTE 960ML,LA RECETTE,476,CX 12,2,2026-08-26 17:27:47,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA ART BAUNILHA BRANCA 960ML MIX,MIX,80152,CX 06,2,2026-08-26 17:27:47,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA ART SABOR BAUNILHA 960ML,FAB,77926,CX 06,3,2026-08-26 17:27:48,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA ART SABOR BAUNILHA BRANCA 960ML,FAB,77927,CX 06,3,2026-08-26 17:27:48,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA ART SABOR LARANJA 960ML,FAB,77928,CX 06,3,2026-08-26 17:27:48,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA ART SABOR MANTEIGA 960ML,FAB,77929,CX 06,3,2026-08-26 17:27:48,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA ARTIF BAUNILHA MIX 960ML,MIX,80153,CX 06,3,2026-08-26 17:27:48,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA ARTIFICIAL COCO MIX 960ML,MIX,80166,CX 06,3,2026-08-26 17:27:48,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA ARTIFICIAL PANETONE 960ML MIX,MIX,80187,CX 06,3,2026-08-26 17:27:48,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA BATATA DOCE OLEOSO LARECETTE 1000M,LA RECETTE,398,CX 12,3,2026-08-26 17:27:48,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA BAUNILHA LARECETTE 960ML,LA RECETTE,431,CX 12,3,2026-08-26 17:27:48,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA BAUNILHA OLEOSO 1000ML,LA RECETTE,479,CX 12,3,2026-08-26 17:27:48,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA BAUNILHA PRATA LARECETTE 960ML,LA RECETTE,523,CX 12,3,2026-08-26 17:27:48,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA CHOCOLATE OLEOSO 1000ML,LA RECETTE,480,CX 12,3,2026-08-26 17:27:48,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA COCO LARECETTE 960ML,LA RECETTE,432,CX 12,4,2026-08-26 17:27:50,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA COCO OLEOSO LARECETTE 1000ML,LA RECETTE,439,CX 12,4,2026-08-26 17:27:50,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA DE CHOCOLATE 960ML,LA RECETTE,2213,CX 12,4,2026-08-26 17:27:50,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA DE LEITE 960ML LA RECETTE,LA RECETTE,10842,CX 12,4,2026-08-26 17:27:50,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA IDENT NATURAL MANTEIGA MIX 960ML,MIX,81220,CX 06,4,2026-08-26 17:27:50,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA LARANJA LARECETTE 960ML,LA RECETTE,429,CX 12,4,2026-08-26 17:27:50,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA LARANJA OLEOSO 1000ML,LA RECETTE,481,CX 12,4,2026-08-26 17:27:50,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA LEITE CONDENSADO LARECETTE 960ML,LA RECETTE,437,CX 12,4,2026-08-26 17:27:50,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA LIMAO LARECETTE 960ML,LA RECETTE,438,CX 12,4,2026-08-26 17:27:50,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA MANTEIGA LARECETTE 960ML,LA RECETTE,430,CX 12,4,2026-08-26 17:27:50,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA MANTEIGA OLEOSO LARECETTE 1000ML,LA RECETTE,440,CX 12,4,2026-08-26 17:27:50,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA MARACUJA LARECETTE 960ML,LA RECETTE,436,CX 12,4,2026-08-26 17:27:50,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA MARACUJA OLEOSO 1000ML LARECETTE,LA RECETTE,10843,UN 01,5,2026-08-26 17:27:52,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA MARIA OLEOSO LARECETTE 1000ML,LA RECETTE,385,CX 12,5,2026-08-26 17:27:52,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA MILHO VERDE OLEOSO LARECETE 1000ML,LA RECETTE,441,CX 12,5,2026-08-26 17:27:52,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA MORANGO LARECETTE 960ML,LA RECETTE,474,CX 12,5,2026-08-26 17:27:52,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA NATA LARECETTE 960ML,LA RECETTE,478,CX 12,5,2026-08-26 17:27:52,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA NATA OLEOSO 1000ML,LA RECETTE,492,CX 12,5,2026-08-26 17:27:52,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA NATURAL LARANJA MIX 960ML,MIX,80175,CX 06,5,2026-08-26 17:27:52,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA NATURAL MANTEIGA MIX 960ML,MIX,80178,CX 06,5,2026-08-26 17:27:52,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA PANETONE LARECETTE 960ML,LA RECETTE,368,CX 12,5,2026-08-26 17:27:52,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA PANETONE OLEOSO LARECETTE 1000ML,LA RECETTE,477,CX 12,5,2026-08-26 17:27:52,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,AROMA QUEIJO LARECETTE 960ML,LA RECETTE,442,CX 12,5,2026-08-26 17:27:52,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,BASE P/SORVETE E BOLO CHOC BCO 1KG,BIG MIX,2312,FD 10,5,2026-08-26 17:27:52,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,BASE P/SORVETE E BOLO DE ABACAXI 1KG,LA RECETTE,467,FD 10,6,2026-08-26 17:27:53,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,BASE P/SORVETE E BOLO DE AIPIM 1KG,LA RECETTE,473,FD 10,6,2026-08-26 17:27:53,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,BASE P/SORVETE E BOLO DE BAUNILHA 1KG,LA RECETTE,469,FD 10,6,2026-08-26 17:27:53,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,BASE P/SORVETE E BOLO DE LEITE COND 1KG,LA RECETTE,468,FD 10,6,2026-08-26 17:27:53,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,BASE P/SORVETE E BOLO DE LIMAO 1KG,BIG MIX,2296,FD 10,6,2026-08-26 17:27:53,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,BASE P/SORVETE E BOLO DE MARACUJA 1KG,LA RECETTE,471,FD 10,6,2026-08-26 17:27:53,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,BASE P/SORVETE E BOLO DE MILHO VERDE 1KG,LA RECETTE,466,FD 10,6,2026-08-26 17:27:53,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,BASE P/SORVETE E BOLO DE MORANGO 1KG,LA RECETTE,470,FD 10,6,2026-08-26 17:27:53,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,BASE P/SORVETE E BOLO DE NATA 1KG,LA RECETTE,472,FD 10,6,2026-08-26 17:27:53,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,BEIJINHO 2KG BOCARDO,BOCARDO,4936,CX 06,6,2026-08-26 17:27:53,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,BEIJINHO 950G BOCARDO,BOCARDO,2100,PC 25,6,2026-08-26 17:27:53,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,BICARBONATO DE SODIO EXTRA FINO 1KG,DAXIA,2314,PC 25,6,2026-08-26 17:27:53,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,BICARBONATO DE SODIO EXTRA FINO 25KG,DIVERSOS,79183,SC 01,7,2026-08-26 17:27:55,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,"BISNAGA CARAVELA NOCCIOLA CRUNCH 1,01KG",MASTER MARTINI,10530,CX 09,7,2026-08-26 17:27:55,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,"BISNAGA CARAVELLA PISTACCHIO 1,01KG",MASTER MARTINI,10617,CX 09,7,2026-08-26 17:27:55,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,"BISNAGA CARIBE BUENO 1,01KG",MASTER MARTINI,10527,CX 09,7,2026-08-26 17:27:55,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,"BISNAGA CARIBE CREM AVELA 1,01KG",MASTER MARTINI,10528,CX 09,7,2026-08-26 17:27:55,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,"BISNAGA CARIBE LEITINHO 1,01KG",MASTER MARTINI,10526,CX 09,7,2026-08-26 17:27:55,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,BRIGADEIRO 2KG BOCARDO,BOCARDO,2101,CX 06,7,2026-08-26 17:27:55,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,BRIGADEIRO 950KG BOCARDO,BOCARDO,4937,CX 06,7,2026-08-26 17:27:55,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,"BRILHO E COB MARACUJA C/SEM 1,01KG AUREA",AUREA,8547,UN 01,7,2026-08-26 17:27:55,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,"BRILHO E COB MORANGO 1,01KG AUREA",AUREA,8539,CX 06,7,2026-08-26 17:27:55,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,BRILHO P/DECORACAO AMARELO 3G FAB,FAB,6366,CX 12,7,2026-08-26 17:27:55,https://casagarciafortaleza.com.br/index.php
Casa Garcia Gourmet,Confeitaria,BRILHO P/DECORACAO AZUL 3G FAB,FAB,6364,CX 12,7,2026-08-26 17:27:55,https://casagarciafortaleza.com.br/index.php
